-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  26.3452   Longitude 89.4482 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 180.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,16.55,5.94,11.25,14.71,14.01,24.2,10.19,5.98,52.5,0.0
2019,1,2,16.87,5.55,11.21,14.73,12.21,24.15,11.94,5.74,49.75,0.0
2019,1,3,16.2,6.16,11.19,14.63,13.23,23.43,10.2,5.98,53.75,0.02
2019,1,4,15.1,6.9,11.0,14.35,13.45,22.62,9.17,6.29,60.75,0.0
2019,1,5,16.7,7.1,11.9,15.44,12.94,24.46,11.52,6.41,55.75,0.0
2019,1,6,17.45,7.06,12.26,16.23,13.51,25.61,12.1,6.41,53.62,0.0
2019,1,7,18.58,6.47,12.52,16.79,13.34,26.3,12.96,6.23,47.56,0.0
2019,1,8,18.4,7.06,12.73,17.27,14.26,26.58,12.32,6.41,50.19,0.0
2019,1,9,17.33,7.84,12.58,16.43,12.27,24.31,12.04,6.71,55.62,0.04
2019,1,10,15.86,7.4,11.63,14.94,11.59,22.16,10.58,6.47,58.94,0.02
2019,1,11,16.55,8.47,12.51,15.26,11.14,23.23,12.08,7.08,60.62,0.0
2019,1,12,17.29,8.46,12.87,16.23,12.73,24.54,11.82,7.02,58.44,0.0
2019,1,13,18.68,7.63,13.15,16.83,12.57,26.26,13.69,6.59,50.81,0.0
2019,1,14,17.19,6.65,11.92,16.39,13.84,25.01,11.18,6.23,52.62,0.0
2019,1,15,16.8,5.3,11.05,14.99,11.88,24.01,12.12,5.62,48.5,0.0
2019,1,16,16.69,6.03,11.36,15.24,13.91,24.48,10.58,6.04,52.38,0.0
2019,1,17,18.23,8.84,13.54,17.19,11.99,25.52,13.54,7.26,56.56,0.0
2019,1,18,18.45,8.86,13.65,17.4,12.44,25.3,12.87,7.2,55.75,0.0
2019,1,19,18.07,9.37,13.72,17.23,12.42,24.71,12.3,7.45,58.56,0.0
2019,1,20,17.9,9.07,13.48,16.91,12.79,24.82,12.02,7.26,58.56,0.0
2019,1,21,18.22,9.39,13.8,17.5,12.93,25.72,12.8,7.45,59.31,0.0
2019,1,22,18.87,9.62,14.25,18.08,12.62,26.23,13.62,7.57,57.62,0.0
2019,1,23,19.18,9.67,14.42,18.48,12.47,26.33,13.86,7.63,56.81,0.07
2019,1,24,19.4,9.28,14.34,18.48,12.88,26.61,13.73,7.39,54.38,0.05
2019,1,25,19.21,10.17,14.69,18.9,11.28,25.58,14.3,7.87,57.56,0.04
2019,1,26,20.68,9.66,15.17,19.99,12.96,27.98,15.01,7.57,51.5,0.08
2019,1,27,21.01,9.6,15.3,20.62,12.37,28.59,16.23,7.51,50.31,0.03
2019,1,28,19.57,9.05,14.3,19.26,12.66,27.08,14.42,7.26,52.56,0.06
2019,1,29,17.38,4.84,11.11,16.65,12.29,24.8,12.52,5.49,46.44,0.34
2019,1,30,16.0,3.56,9.78,15.51,14.74,24.26,9.51,5.0,46.75,0.0
2019,1,31,17.46,5.78,11.62,16.05,13.4,25.41,12.01,5.86,48.94,0.0
2019,2,1,18.72,7.23,12.98,17.64,11.53,26.06,14.53,6.47,49.31,0.0
2019,2,2,19.19,7.08,13.14,17.91,13.76,26.55,12.79,6.41,47.94,0.03
2019,2,3,19.04,4.7,11.87,17.48,13.6,26.35,12.74,5.37,41.31,0.0
2019,2,4,18.19,5.17,11.68,17.13,14.07,25.46,11.38,5.55,44.44,0.0
2019,2,5,18.86,5.44,12.15,17.43,13.81,26.55,12.73,5.68,43.75,0.0
2019,2,6,18.97,5.92,12.44,17.73,12.66,26.14,13.48,5.86,44.44,0.0
2019,2,7,19.21,7.7,13.46,18.99,14.65,27.07,12.41,6.65,49.62,0.19
2019,2,8,20.3,10.4,15.36,19.98,12.4,27.51,15.12,8.0,55.56,3.62
